7	1
11	1
15	1
19	1
23	1
27	1
31	1
35	1
39	1
43	1
47	1
51	1
55	1
59	1
63	1
67	1
71	1
75	1
79	1
83	1
87	1
91	1
95	1
99	1
103	1
107	1
111	1
115	1
119	1
123	1
127	1
131	1
135	37
139	1
143	1
147	1
151	1
155	1
159	1
163	1
167	1
171	1
175	1
179	1
183	1
187	1
191	1
195	1
199	1
203	59
207	37
211	1
215	1
219	1
223	1
227	1
231	1
235	1
239	1
243	1
247	67
251	103
255	1
259	1
263	1
267	1
271	1
275	1
279	37
283	1
287	1
291	1
295	1
299	1
303	131
307	1
311	1
315	1
319	59
323	1
327	1
331	1
335	101
339	1
343	1
347	1
351	37
355	1
359	1
363	1
367	1
371	1
375	1
379	67
383	1
387	1
391	1
395	1
399	1
403	1
407	1
411	1
415	1
419	1
423	37
427	1
431	1
435	9263
439	1
443	1
447	1
451	1
455	10609
459	1
463	1
467	1
471	1
475	1
479	1
483	1
487	1
491	1
495	37
499	1
503	1
507	1
511	67
515	1
519	1
523	1
527	1
531	157
535	101
539	1
543	1
547	1
551	59
555	149
559	1
563	131
567	1369
571	1
575	1
579	1
583	1
587	1
591	1
595	1
599	1
603	283
607	1
611	1
615	1
619	1
623	1
627	1
631	233
635	1
639	37
643	67
647	1
651	1
655	1
659	103
663	1
667	59
671	1
675	1
679	1
683	1
687	1
691	1
695	1
699	1
703	1
707	271
711	37
715	1
719	1
723	263
727	1
731	1
735	101
739	1
743	1
747	157
751	1
755	1
759	1
763	1
767	1
771	1
775	67
779	1
783	2183
787	307
791	1
795	1
799	1
803	1
807	1
811	1
815	1
819	1
823	131
827	1
831	1
835	1
839	257
843	157
847	1
851	149
855	37
859	1
863	103
867	1
871	1
875	1
879	1
883	1
887	1
891	1
895	293
899	59
903	1
907	67
911	1
915	1
919	1
923	1
927	37
931	1
935	101
939	1
943	1
947	1
951	1
955	379
959	1
963	1
967	1
971	1
975	1
979	1
983	1
987	1
991	1
995	1
999	37
